#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
hysteria,7,4,6,46,,,,,,n
niagara,2,2,2,,,,,,,n
nibble,1,1,1,19,,,,,,n
nibble,1,1,1,19,,,,,,v
nicaragua,2,2,2,,,,,,,n
nice,75,13,49,830,155,583,279,375,525,n
nice,75,13,49,830,155,583,279,375,525,j
nicest,,,,,2,,,,,j
nicety,,,,13,,302,242,221,,n
niche,3,3,3,24,2,,,,,v
niche,3,3,3,24,2,,,,,n
nicholas,7,4,4,,,,,,,n
icing,1,1,1,28,,,,,,n
nick,25,2,3,23,2,,,,,n
nick,25,2,3,23,2,,,,,v
nickel,7,3,5,39,1,559,597,572,431,n
nickel,7,3,5,39,1,559,597,572,431,v
nickname,10,3,9,29,2,,,,,n
nickname,10,3,9,29,2,,,,,v
idealism,3,3,3,26,2,,,,,n
identification,43,9,28,23,,451,285,345,,n
idleness,3,3,3,35,,414,242,332,,n
nidus,,,,,,85,296,213,133,n
niece,8,4,5,67,1,,,,,n
niggard,,,,2,,,,,,j
niggard,,,,2,,,,,,n
nigger,12,1,2,14,,,,,,j
nigger,12,1,2,14,,,,,,n
niggling,,,,,1,,,,,j
niggling,,,,,1,,,,,v
nigh,1,1,1,14,,,,,,r
nigh,1,1,1,14,,,,,,n
nigh,1,1,1,14,,,,,,v
nigh,1,1,1,14,,,,,,a
nigh,1,1,1,14,,,,,,j
night,411,15,183,3385,67,636,496,607,533,v
night,411,15,183,3385,67,636,496,607,533,n
nightdress,1,1,1,,,,,,,n
nighted,1,1,1,,,,,,,o
nightgown,,,,34,,506,644,564,452,n
nightingale,4,3,3,8,,375,621,551,,n
nightly,3,3,3,30,,,,,,a
nightly,3,3,3,30,,,,,,j
nightmare,9,6,7,78,1,,,,,v
nightmare,9,6,7,78,1,,,,,n
nightmarish,2,2,2,,1,,,,,j
nightshirt,1,1,1,,,,,,,n
ignition,5,4,4,6,,483,438,466,382,n
ignorance,16,9,15,103,4,558,249,386,,n
nihilist,2,1,1,,,,,,,n
ilk,,,,,1,,,,,n
illegitimacy,4,2,2,,,,,,,n
imagery,10,3,8,4,2,,,,,n
nimble,,,,7,,,,,,a
nimble,,,,7,,,,,,j
immaturity,1,1,1,,,,,,,n
immediacy,8,3,5,,,,,,,n
imminence,1,1,1,,,,,,,n
immobility,4,3,3,9,,,,,,n
immortality,19,3,8,11,,424,209,348,,n
immunity,7,4,4,20,,431,293,367,,n
immunization,1,1,1,,,,,,,n
impartiality,2,1,2,4,,,,,,n
impatience,10,8,10,65,,530,257,413,,n
imperialism,2,2,2,6,1,,,,,n
impermanence,1,1,1,3,,,,,,n
importance,108,13,79,322,3,575,244,347,,n
impotence,2,2,2,3,,,,,,n
impressionism,1,1,1,,1,,,,,n
imprisonment,6,4,5,20,,,,,,n
impudence,1,1,1,11,,,,,,n
impunity,3,3,3,2,,254,242,183,,n
in-fighting,1,1,1,,,,,,,n
inability,17,8,14,27,,,,,,n
inaction,6,4,5,9,,327,297,270,,n
inactivity,1,1,1,9,,,,,,n
inattention,,,,4,,,,,,n
inbreeding,,,,,2,,,,,n
incapacity,1,1,1,3,,,,,,n
incense,2,2,2,14,,504,499,555,352,n
incest,13,2,2,,,,,,,n
inclusion,3,2,3,12,,,,,,n
incompatible,2,2,2,4,,,,,,n
incomprehension,1,1,1,,,,,,,n
incorporation,3,3,3,2,,,,,,n
incorruptibility,1,1,1,,,,,,,n
incredulity,1,1,1,15,,351,237,297,,n
indecision,5,4,4,11,,,,,,n
independence,70,8,32,188,1,543,242,440,,n
indifference,17,9,16,69,,,,,,n
indigestion,2,2,2,19,1,,,,,n
indignation,9,7,9,60,,,,,,n
indigo,1,1,1,5,,,,,,n
individualism,12,1,4,13,,,,,,n
indoctrination,1,1,1,,,,,,,n
indolence,1,1,1,5,,283,211,227,,n
industrialism,1,1,1,,,,,,,n
nine,81,13,56,468,20,571,452,494,424,n
nine,81,13,56,468,20,571,452,494,424,j
nine,81,13,56,468,20,571,452,494,424,o
inebriety,,,,,,164,353,383,,n
inefficiency,1,1,1,19,1,465,225,316,,n
ninepence,,,,,2,,,,,n
inertia,2,2,2,12,,,,,,n
nineteen,18,10,14,109,64,,,,,j
nineteen,18,10,14,109,64,,,,,n
nineteenth,42,10,23,28,10,,,,,n
nineteenth,42,10,23,28,10,,,,,j
ninetieth,1,1,1,,,,,,,n
ninetieth,1,1,1,,,,,,,j
ninety,12,5,8,62,8,,,,,j
ninety,12,5,8,62,8,,,,,n
inevitability,2,2,2,,,,,,,n
inexperience,3,3,3,16,2,473,247,305,,n
infallibility,,,,8,,332,225,275,,n
inferiority,5,3,5,23,,,,,,n
infield,6,3,3,,,,,,,n
infiltration,6,3,4,,,,,,,n
infinity,2,2,2,5,4,485,204,469,,n
inflation,5,4,4,19,,,,,,n
influenza,2,1,2,14,,,,,,n
information,269,14,115,384,8,590,388,364,,n
ingenuity,5,3,5,51,,,,,,n
ingratitude,1,1,1,10,,366,250,336,,n
initiation,7,5,7,7,,389,272,370,,n
innocence,28,7,12,59,,522,247,383,,n
ninny,,,,,1,,,,,n
insanity,3,2,2,38,,,,,,n
insecurity,5,4,5,,,,,,,n
insemination,1,1,1,,,,,,,n
insensibility,,,,1,,,,,,n
insignificance,1,1,1,,,,,,,n
insistence,19,9,17,36,,411,262,324,,n
insolence,6,5,5,12,,412,248,407,,n
insolvency,,,,4,,,,,,n
insomnia,3,1,1,5,,,,,,n
insouciance,1,1,1,,,,,,,n
instrumentality,,,,3,,,,,,n
instrumentation,4,2,3,,,,,,,n
insufficiency,,,,1,,385,257,253,,n
insularity,3,3,3,,,,,,,n
insulation,10,3,4,12,,,,,,n
insulin,3,2,2,,,,,,,n
integration,48,9,24,,,,,,,n
integrity,10,7,9,41,,481,247,379,421,n
intelligence,48,10,24,144,4,570,275,383,,n
intemperance,1,1,1,,,236,248,262,,n
intercourse,9,1,2,24,,,,,,n
interference,45,7,15,35,,,,,,n
interim,11,6,9,8,1,309,310,261,,n
interplay,6,3,6,,,,,,,n
ninth,20,7,13,42,2,,,,,n
ninth,20,7,13,42,2,,,,,j
intimidation,5,4,5,,,,,,,n
intonation,8,2,2,4,1,,,,,n
intoxication,,,,10,,378,373,570,,n
introspection,1,1,1,,1,,,,,n
invalidism,1,1,1,,,,,,,n
invective,,,,2,,,,,,n
inverse,5,1,4,1,,,,,,n
inwardness,2,2,2,,1,,,,,n
niobe,1,1,1,,,,,,,n
iodine,18,1,2,13,,396,576,508,,n
nip,3,3,3,19,,477,515,486,,n
nip,3,3,3,19,,477,515,486,,v
nipped,,,,,1,,,,,p
nipped,,,,,1,,,,,v
ire,1,1,1,2,,,,,,n
iridium,1,1,1,,,,,,,n
irresolution,1,1,1,,,,,,,n
irresponsibility,3,3,3,,,,,,,n
irreverence,2,2,2,,,,,,,n
irrigation,3,2,2,15,1,399,452,456,,n
irritability,1,1,1,6,,,,,,n
nirvana,1,1,1,,,,,,,n
isolation,16,3,9,21,2,,,,,n
isolationism,1,1,1,,,,,,,n
isus,,,,,,70,337,211,160,n
nit,,,,,1,,,,,n
nitrate,3,1,1,6,,,,,,v
nitrate,3,1,1,6,,,,,,n
nitwit,,,,,1,,,,,n
ivory,17,8,12,91,,512,571,529,375,n
jabber,,,,7,,,,,,n
jangle,,,,12,,378,373,392,290,n
jargon,4,3,4,5,2,413,352,386,384,n
jasmine,,,,11,,,,,,n
jasper,1,1,1,20,,,,,,n
jaundice,,,,4,1,,,,,n
jazz,99,8,16,34,,,,,,n
jeopardy,4,4,4,7,,352,266,344,,n
journalese,2,1,1,,,,,,,n
journalism,13,8,11,30,1,,,,,n
junketing,,,,,1,,,,,n
jurisdiction,29,5,11,11,,,,,,n
jurisprudence,3,2,2,4,,,,,,n
justness,1,1,1,,,,,,,n
jute,,,,11,,,,,,n
juxtaposition,3,2,3,3,,,,,,n
kale,1,1,1,17,,256,558,391,,n
kava,1,1,1,,,,,,,n
kedgeree,4,1,1,,,,,,,n
keeping,60,14,48,,6,,,,,n
kelp,2,1,1,,,,,,,n
kerosene,6,3,3,37,,418,597,548,364,n
ketchup,1,1,1,,,,,,,n
khaki,1,1,1,16,1,,,,,n
kindling,,,,12,,,,,,n
kindred,3,3,3,15,,,,,,n
kingship,,,,,1,,,,,n
kinship,3,3,3,9,,,,,,n
knitting,1,1,1,,11,501,583,578,,n
know-how,4,4,4,,,,,,,n
knowledge,145,13,103,465,17,575,278,348,508,n
kosher,1,1,1,,,,,,,n
lack,110,14,88,414,4,532,311,302,360,n
lading,,,,2,,,,,,n
lagging,,,,,1,,,,,n
laissez-faire,5,3,4,,,,,,,n
lamplight,3,3,3,25,,,,,,n
languor,,,,3,,,,,,n
lard,4,2,2,22,,458,517,491,357,n
large,361,15,214,1697,28,634,,449,,n
lassitude,,,,7,,,,,,n
latex,2,1,1,,,,,,,n
lather,3,2,2,22,,,,,,n
latitude,5,4,5,12,,,,,,n
laudanum,3,2,2,,,,,,,n
laughter,22,10,17,275,1,570,411,613,,n
lava,1,1,1,5,,,,,,n
lavender,5,3,3,61,,,,,,n
leadership,92,12,46,94,,,,,,n
leading,68,14,60,223,11,,,,,n
leading,68,14,60,223,11,,,,,n
lean,20,8,19,641,1,549,395,472,477,n
learning,60,14,43,108,4,565,303,370,,n
leaven,,,,5,,,,,,n
lee,34,7,20,211,,,,,,n
leeway,2,2,2,,,,,,,n
left,480,15,250,2786,82,592,341,383,315,n
legality,1,1,1,5,,458,302,310,421,n
legibility,1,1,1,,,,,,,n
legislation,46,7,28,97,,466,397,367,,n
legitimacy,2,2,2,,,,,,,n
leisure,11,7,11,115,1,,,,,n
lemonade,3,3,3,39,,522,615,606,458,n
leniency,,,,2,,,,,,n
leprosy,1,1,1,24,,,,,,n
less,438,15,236,1357,56,541,266,286,305,n
lethargy,4,3,4,8,,,,,,n
lettering,4,4,4,8,,,,,,n
leverage,1,1,1,,,,,,,n
lexicography,,,,,3,,,,,n
lexis,,,,,1,,,,,n
liberalism,15,3,9,11,,,,,,n
librarianship,,,,,1,,,,,n
lichen,,,,4,,365,547,404,292,n
lieu,5,4,4,7,,,,,,n
lightness,1,1,1,16,,,,,,n
lightning,14,5,10,101,,465,525,599,,n
lignite,4,1,1,2,,,,,,n
likable,4,1,1,2,,,,,,j
likelihood,10,9,10,16,,,,,,n
limelight,1,1,1,16,,384,379,480,370,n
limestone,,,,41,,,,,,n
lineage,2,2,2,9,,,,,,n
linen,6,4,5,281,2,515,581,551,415,n
lingerie,2,2,2,22,,,,,,n
linoleum,1,1,1,53,,,,,,n
linseed,,,,5,,,,,,n
lint,4,3,3,17,,479,537,513,310,n
liquidation,12,5,5,22,,,,,,n
liquidity,1,1,1,,,,,,,n
lisle,1,1,1,,,,,,,n
literature,133,12,53,95,70,529,462,487,520,n
litigation,13,3,5,8,,,,,,n
litmus,,,,,1,,,,,n
little,831,15,324,8659,193,594,378,502,546,n
loam,,,,9,,,,,,n
loathing,2,2,2,,,,,,,n
locomotion,,,,4,,,,,,n
logging,5,4,4,6,,,,,,n
longevity,2,2,2,4,,,,,,n
longhand,2,2,2,,1,,,,,n
loot,3,3,3,31,,470,542,579,448,n
loquacity,1,1,1,,,144,326,321,219,n
lore,7,5,7,28,,,,,,n
lucerne,,,,1,,,,,,n
lucidity,1,1,1,,,,,,,n
luck,47,9,34,312,4,587,275,399,,n
ludo,,,,,1,,,,,n
luggage,10,6,6,86,1,,,,,n
lumbar,1,1,1,,,,,,,n
luminosity,1,1,1,,,,,,,n
lustre,2,2,2,,,,,,,n
luxuriance,1,1,1,,,,,,,n
lymph,2,1,1,9,,330,501,383,,n
lynch,,,,13,,,,,,n
macadam,,,,1,,,,,,n
macaroni,,,,32,,498,631,608,459,n
machinery,60,8,22,184,1,528,545,526,,n
madder,,,,3,,,,,,n
madness,2,2,2,37,3,473,289,422,,n
magenta,2,2,2,,,,,,,n
magic,37,11,22,158,3,481,257,458,,n
magnesia,,,,3,,,,,,n
magnesium,,,,8,,372,547,391,,n
magnetism,8,2,2,15,,,,,,n
magnificence,2,2,2,55,,,,,,n
magnitude,29,6,16,24,,431,333,303,,n
maintenance,64,11,34,37,1,,,,,n
maize,,,,10,,334,453,420,274,n
maladjustment,6,1,1,4,,,,,,n
malaria,3,2,3,12,3,356,506,484,,n
malevolence,2,2,2,,,,,,,n
malice,2,2,2,32,,354,248,365,,n
malignancy,1,1,1,,,,,,,n
malnutrition,4,3,3,,,,,,,n
malt,1,1,1,37,2,,,,,n
manganese,1,1,1,4,,332,540,413,,n
manhood,6,3,4,33,,,,,,n
mankind,39,8,23,74,,500,406,452,,n
manna,,,,3,,,,,,n
manslaughter,4,2,3,5,,,,,,n
manufacture,18,6,10,183,,,,,,n
manure,6,3,4,22,,458,644,534,453,n
marinade,1,1,1,,,,,,,n
marl,,,,,,185,394,186,,n
marmalade,1,1,1,28,,,,,,n
mascara,1,1,1,,,,,,,n
masculinity,1,1,1,,,,,,,n
masonry,6,5,5,11,,,,,,n
mastery,10,7,9,14,,371,279,324,,n
materialism,7,3,7,7,,,,,,n
maternity,,,,30,,389,341,502,,n
matrimony,3,3,3,31,,,,,,n
matting,2,2,2,,,,,,,n
maturation,3,3,3,,,,,,,n
maturity,39,6,13,40,1,475,234,429,,n
mayhem,1,1,1,,1,,,,,n
mayonnaise,2,2,2,89,,,,,,n
meanness,3,3,3,12,1,,,,,n
meantime,12,6,11,108,2,,,,,n
megalomania,1,1,1,,,,,,,n
melancholy,9,5,8,46,,431,329,370,421,n
membership,73,7,25,63,,,,,,n
mending,3,3,3,,,,,,,n
meningitis,,,,,1,,,,,n
menstruation,1,1,1,,,,,,,n
menthol,,,,,2,,,,,n
merchandise,7,4,6,48,,,,,,n
merino,,,,7,,,,,,n
merriment,3,3,3,20,,,,,,n
metabolism,2,2,2,2,,,,,,n
metallurgy,,,,,1,,,,,n
mettle,2,1,2,6,,,,,,n
mica,1,1,1,2,,253,474,397,,n
midday,5,3,5,24,,,,,,n
midnight,23,8,19,211,,569,396,602,,n
midstream,1,1,1,9,,,,,,n
midsummer,3,3,3,33,,,,,,n
might,672,15,310,3089,143,533,271,346,380,n
mignonette,,,,6,,,,,,n
mildew,1,1,1,12,,,,,,n
militarism,3,1,1,,,,,,,n
military,212,12,77,178,9,458,417,478,,n
milk,49,8,26,663,12,588,670,638,515,n
millet,,,,8,,,,,,n
millinery,1,1,1,8,,,,,,n
milt,2,1,2,,,,,,,n
mimicry,,,,4,,,,,,n
mince,1,1,1,75,,384,430,419,317,n
mincemeat,,,,17,,,,,,n
mineralogy,5,2,2,,,,,,,n
mining,12,7,9,166,2,,,,,n
miniver,1,1,1,,,,,,,n
minstrelsy,,,,1,,,,,,n
mire,,,,14,,,,,,n
mirth,2,2,2,22,,,,,,n
miscegenation,1,1,1,,,,,,,n
misconduct,,,,2,,,,,,n
mismanagement,,,,3,,407,295,286,,n
misrule,,,,2,,,,,,n
mistletoe,,,,4,,,,,,n
mistrust,4,3,3,9,,,,,,n
mitigation,1,1,1,,,,,,,n
mobility,8,4,6,11,,,,,,n
moderation,3,2,3,13,,,,,,n
modernism,2,2,2,,,,,,,n
modernity,6,3,3,,,,,,,n
modernization,13,4,6,,,,,,,n
modesty,4,4,4,22,1,,,,,n
mohair,,,,10,,377,583,508,,n
moisture,10,5,8,66,,462,545,513,,n
molestation,,,,2,,,,,,n
monasticism,1,1,1,,,,,,,n
money,265,14,143,3089,88,631,574,604,536,n
monogamy,1,1,1,,,,,,,n
monotony,7,6,7,32,,,,,,n
moonlight,13,4,9,150,,467,456,613,,n
moonshine,,,,20,,,,,,n
morale,17,5,10,25,1,,,,,n
more,2216,15,475,8015,340,612,284,264,351,n
morphine,1,1,1,9,,446,580,550,433,n
morphology,2,1,2,,,,,,,n
mortality,9,5,6,15,,,,,,n
mortification,1,1,1,6,,,,,,n
motherhood,1,1,1,38,,,,,,n
motley,3,2,2,13,,,,,,n
mourning,8,4,6,,,,,,,n
mucilage,1,1,1,,,,,,,n
muck,1,1,1,17,1,,,,,n
mucus,2,2,2,,,447,565,570,366,n
mud,32,9,21,153,,519,605,582,472,n
mufti,,,,,2,,,,,n
mulligatawny,1,1,1,,,,,,,n
multiplicity,8,2,3,9,,,,,,n
mush,,,,21,2,,,,,n
music,216,15,64,660,23,599,512,549,569,n
musk,,,,15,,,,,,n
musketry,,,,,1,,,,,n
muslin,,,,36,,,,,,n
mustard,20,2,6,51,,532,595,599,388,n
mutton,8,2,2,22,,337,538,484,334,n
mycology,1,1,1,,,,,,,n
myopia,1,1,1,,,,,,,n
myrrh,2,1,1,,,,,,,n
mysticism,2,2,2,5,,,,,,n
narrowness,1,1,1,7,,401,303,397,,n
nationalism,35,5,12,11,1,,,,,n
naturalism,1,1,1,,,,,,,n
naturalization,,,,4,,,,,,n
nausea,3,3,3,15,,,,,,n
navigation,6,5,6,13,,,,,,n
necromancy,,,,,1,,,,,n
nectar,3,2,2,4,,344,556,523,,n
needlework,,,,8,,,,,,n
negation,5,2,4,3,,,,,,n
neglect,12,7,10,192,1,509,282,372,,n
negligence,4,3,3,21,,,,,,n
neon,14,4,5,,,,,,,n
netting,1,1,1,,,,,,,v
netting,1,1,1,,,,,,,n
neuralgia,1,1,1,,,,,,,n
neuritis,1,1,1,,,,,,,n
neurology,,,,,1,,,,,n
neutrality,3,3,3,1,1,409,267,308,,n
news,102,15,79,695,7,560,437,484,507,n
nicotine,,,,12,,,,,,n
nightfall,4,3,4,20,,460,511,588,,n
nihilism,1,1,1,,,,,,,n
nil,1,1,1,,,,,,,n
nitrogen,12,6,7,1,,,,,,n
nitroglycerine,1,1,1,,,,,,,n
nobility,4,3,4,24,4,,,,,n
non-interference,1,1,1,,,,,,,n
nonchalance,,,,20,,,,,,n
noon,25,10,23,236,,,,,,n
noontide,,,,3,,,,,,n
normal,136,15,72,335,11,602,237,294,,n
normalcy,4,3,3,,,,,,,n
north,206,14,88,329,41,,,,,n
northwest,,,,,2,,,,,n
nostalgia,8,5,8,,,360,,,,n
nothingness,3,2,3,,,,,,,n
notoriety,1,1,1,14,,,,,,n
nourishment,1,1,1,21,,,,,,n
nudism,1,1,1,,,,,,,n
nudity,2,1,1,,,,,,,n
nullity,1,1,1,,,,,,,n
nurture,4,4,4,10,,,,,,n
nutrition,8,1,2,35,1,,,,,n
no,2201,15,469,11742,1283,605,318,361,452,i
no,2201,15,469,11742,1283,605,318,361,452,a
no,2201,15,469,11742,1283,605,318,361,452,j
no,2201,15,469,11742,1283,605,318,361,452,n
no.,,,,39,,,,,,n
oatmeal,1,1,1,20,,471,552,558,346,n
nob,1,1,1,1,,265,492,372,,v
nob,1,1,1,1,,265,492,372,,n
obedience,9,4,7,24,,500,238,394,,n
obesity,5,1,1,3,,,,,,n
objectivity,2,2,2,,,,,,,n
noble,23,11,21,134,4,410,,383,,v
noble,23,11,21,134,4,410,,383,,j
noble,23,11,21,134,4,410,,383,,n
obliteration,2,2,2,,,,,,,n
oblivion,2,2,2,25,,379,242,386,,n
nobly,,,,14,,,,,,a
nobody,74,12,52,595,56,,,,,u
nobody,74,12,52,595,56,,,,,j
nobody,74,12,52,595,56,,,,,n
nobody,74,12,52,595,56,,,,,o
obsidian,1,1,1,,,,,,,n
obstinacy,,,,3,,,,,,n
nochre,2,2,2,,,,,,,n
noctiluca,1,1,1,,,,,,,n
nocturnal,3,2,3,5,,,,,,n
nocturnal,3,2,3,5,,,,,,j
nocturne,3,2,2,,,,,,,n
nod,12,6,12,611,1,552,437,508,,n
nod,12,6,12,611,1,552,437,508,,v
nodded,,,,,1,,,,,p
nodded,,,,,1,,,,,v
nodding,7,4,7,,,,,,,v
nodding,7,4,7,,,,,,,o
node,,,,9,,,,,,n
nodular,1,1,1,,,,,,,j
noel,6,2,2,,,409,363,463,360,n
offal,1,1,1,,,276,583,402,,n
offset,9,5,7,27,1,,,,,p
offset,9,5,7,27,1,,,,,n
oilcloth,3,2,2,48,,,,,,n
noise,37,13,27,269,9,,,,,n
noise,37,13,27,269,9,,,,,v
noiseless,1,1,1,8,,,,,,j
noises,,,,,2,,,,,v
noisier,,,,,2,,,,,j
noisome,,,,3,,,,,,j
noisy,6,4,6,70,2,609,,215,,j
old,660,15,256,5201,142,616,349,478,568,n
noll,1,1,1,,,221,401,297,213,n
nomad,,,,4,,342,512,516,,j
nomad,,,,4,,342,512,516,,n
nomadic,,,,2,,,,,,j
nomenclature,7,2,2,2,,,,,,n
nominal,11,5,9,20,5,,,,,n
nominal,11,5,9,20,5,,,,,j
nominate,3,3,3,59,,,,,,o
nominate,3,3,3,59,,,,,,p
nominate,3,3,3,59,,,,,,v
nomination,12,4,6,43,,,,,,n
nominative,,,,,1,,,,,j
nominative,,,,,1,,,,,n
nominee,3,2,2,14,,,,,,n
omnipotence,1,1,1,,,,,,,n
non,10,5,9,21,1,,,,,n
non,10,5,9,21,1,,,,,o
non-com,1,1,1,,,,,,,n
non-commissioned,1,1,1,,,,,,,j
non-existent,2,2,2,,,,,,,j
non-existent,2,2,2,,,,,,,n
once,1,1,1,,,,,,,n
nonchalant,1,1,1,10,,360,,366,,j
nonconformist,2,2,2,2,1,,,,,n
nondescript,5,4,5,44,1,,,,,j
nondescript,5,4,5,44,1,,,,,n
none,108,15,95,601,18,569,288,425,422,a
none,108,15,95,601,18,569,288,425,422,u
none,108,15,95,601,18,569,288,425,422,j
none,108,15,95,601,18,569,288,425,422,n
none,108,15,95,601,18,569,288,425,422,o
nonsense,13,9,12,166,5,522,256,349,,n
nonsensical,1,1,1,,,,,,,n
nonsensical,1,1,1,,,,,,,j
onyx,,,,6,,,,,,n
noodle,,,,29,,499,588,530,385,n
nook,,,,24,,,,,,v
nook,,,,24,,,,,,n
noon,25,10,23,236,,,,,,v
noonday,,,,6,,,,,,j
noonday,,,,6,,,,,,n
noose,3,2,2,10,,304,542,593,,n
noose,3,2,2,10,,304,542,593,,v
nooze,2,2,2,21,,,,,,n
nope,1,1,1,,,481,270,315,328,i
nope,1,1,1,,,481,270,315,328,a
nope,1,1,1,,,481,270,315,328,n
open,319,15,193,1567,28,581,381,425,402,n
open-work,1,1,1,,,,,,,n
opium,16,2,2,3,,436,552,487,413,n
opportunism,1,1,1,,,,,,,n
opposition,46,9,32,101,1,483,316,359,,n
opprobrium,1,1,1,,,,,,,n
optimism,15,10,14,28,,500,240,418,,n
opulence,,,,6,,,,,,n
nor,195,15,138,755,5,429,190,243,264,c
ordnance,1,1,1,1,,,,,,n
norfolk,2,2,2,,,,,,,n
orientation,16,8,11,,,,,,,n
originality,6,4,6,23,,488,257,335,,n
norm,10,4,10,,,,,,,n
norma,2,1,1,,,,,,,n
normal,136,15,72,335,11,602,237,294,,j
normalize,1,1,1,,1,,,,,v
normally,,,,,17,,,,,a
norman,15,5,15,,,,,,,j
norman,15,5,15,,,,,,,n
normative,1,1,1,,,,,,,j
ornamentation,1,1,1,,,,,,,n
north,206,14,88,329,41,,,,,a
north,206,14,88,329,41,,,,,j
northerly,1,1,1,5,,,,,,a
northerly,1,1,1,5,,,,,,j
northern,47,12,34,101,12,,,,,n
northern,47,12,34,101,12,,,,,v
northern,47,12,34,101,12,,,,,j
northernmost,1,1,1,,,,,,,j
northland,2,2,2,,,,,,,n
northward,5,2,4,28,,,,,,a
northward,5,2,4,28,,,,,,j
northward,5,2,4,28,,,,,,n
northwest,,,,,2,,,,,a
norway,2,2,2,,,,,,,n
norwegian,2,2,2,,,,,,,j
norwegian,2,2,2,,,,,,,n
nose,60,10,42,478,3,584,628,605,472,n
nose,60,10,42,478,3,584,628,605,472,v
nosegay,,,,9,,,,,,n
nosing,1,1,1,,,,,,,v
nosing,1,1,1,,,,,,,n
ossification,6,1,1,,,,,,,n
ostentation,,,,5,,294,262,280,,n
ostracism,1,1,1,,,,,,,n
nostradamus,1,1,1,,,,,,,n
nostril,1,1,1,48,,,,,,n
not,4609,15,495,21863,929,565,273,253,260,j
not,4609,15,495,21863,929,565,273,253,260,n
not,4609,15,495,21863,929,565,273,253,260,v
not,4609,15,495,21863,929,565,273,253,260,a
notable,20,8,20,59,1,,,,,a
notable,20,8,20,59,1,,,,,n
notable,20,8,20,59,1,,,,,j
notary,,,,5,,,,,,n
notation,3,2,3,11,,,,,,n
notch,6,3,4,24,1,,,,,n
notch,6,3,4,24,1,,,,,v
notching,1,1,1,,,,,,,v
notching,1,1,1,,,,,,,o
note,127,14,95,948,12,594,525,503,438,n
note,127,14,95,948,12,594,525,503,438,v
noted,90,13,69,44,1,,,,,j
noted,90,13,69,44,1,,,,,p
noted,90,13,69,44,1,,,,,v
noted,90,13,69,44,1,,,,,o
notes,,,,,10,,,,,v
noteworthy,7,5,7,8,,,,,,j
other,1,1,1,,,,,,,a
other,1,1,1,,,,,,,c
nothing,412,15,219,2817,66,,,,,a
nothing,412,15,219,2817,66,,,,,n
notice,59,14,50,893,21,634,479,467,,n
notice,59,14,50,893,21,634,479,467,,v
noticeable,11,7,10,42,1,,,,,j
notification,1,1,1,7,,,,,,n
notify,8,4,6,45,,,,,,v
notion,40,10,27,173,6,,,,,n
notitia,1,1,1,,,,,,,n
notorious,8,5,8,38,,,,,,j
notwithstanding,4,3,3,26,,,,,,a
notwithstanding,4,3,3,26,,,,,,c
notwithstanding,4,3,3,26,,,,,,r
nought,,,,2,1,,,,,a
nought,,,,2,1,,,,,j
nought,,,,2,1,,,,,n
nought,,,,,1,,,,,n
noun,1,1,1,2,3,518,387,368,436,n
nourish,,,,41,,,,,,v
outlawry,1,1,1,,,,,,,n
ouzo,,,,,1,,,,,n
nov,21,4,11,,,,,,,n
nova,1,1,1,,,,,,,n
novel,59,10,31,162,17,530,529,547,476,j
novel,59,10,31,162,17,530,529,547,476,n
novelist,15,2,10,29,1,,,,,n
novelty,5,3,5,70,2,,,,,n
november,74,15,42,,3,,,,,n
overburden,1,1,1,5,,,,,,n
overtime,3,2,2,27,,,,,,n
overweight,5,3,4,22,1,,,,,n
overwork,,,,36,1,,,,,n
novice,3,2,3,10,,,,,,j
novice,3,2,3,10,,,,,,n
novitiate,1,1,1,,,,,,,n
now,1314,15,394,7565,544,605,309,276,339,j
now,1314,15,394,7565,544,605,309,276,339,n
now,1314,15,394,7565,544,605,309,276,339,a
now,1314,15,394,7565,544,605,309,276,339,c
nowadays,12,6,11,107,3,,,,,a
nowadays,12,6,11,107,3,,,,,o
nowhere,29,12,27,116,7,521,222,299,385,n
nowhere,29,12,27,116,7,521,222,299,385,a
ownership,22,6,16,85,,464,336,362,,n
noxious,2,2,2,3,,270,,363,,j
oxygen,43,4,12,30,,529,484,430,388,n
ozone,3,1,1,,,,,,,n
nozzle,4,3,4,10,,412,555,513,,n
pacifism,3,2,2,4,,375,279,383,411,n
packing,17,6,11,,1,,,,,n
padding,3,3,3,,,,,,,n
paganism,1,1,1,2,,,,,,n
pageantry,1,1,1,6,,,,,,n
pallor,2,2,2,26,,,,,,n
palsy,2,2,2,3,,,,,,n
pap,1,1,1,7,,,,,,n
paprika,2,1,1,72,,,,,,n
paraffin,,,,28,,,,,,n
paraphernalia,1,1,1,19,,,,,,n
parentage,2,1,1,9,,,,,,n
parking,,,,,1,,,,,n
parole,5,2,3,28,,,,,,n
parquet,1,1,1,,,,,,,n
parsimony,1,1,1,,,,,,,n
parsley,1,1,1,128,,,,,,n
participation,41,9,28,24,,,,,,n
partisanship,,,,8,,,,,,n
passing,65,15,53,,6,566,,368,,n
passivity,1,1,1,,,,,,,n
pasteboard,,,,13,,,,,,n
pasteurization,1,1,1,,,,,,,n
pasturage,,,,1,,,,,,n
patchwork,2,2,2,8,,,,,,n
paternalism,2,1,1,,,,,,,n
pathology,33,2,2,1,,,,,,n
