#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
acre,9,5,6,207,,427,462,464,,n
acrid,1,1,1,16,,,,,,j
acrimonious,,,,,1,,,,,j
acrobat,,,,10,,431,566,583,420,n
acrobatic,2,2,2,,,,,,,j
across,282,15,176,1154,41,,,,,a
across,282,15,176,1154,41,,,,,r
act,283,14,123,926,8,566,379,433,431,j
act,283,14,123,926,8,566,379,433,431,n
act,283,14,123,926,8,566,379,433,431,v
acted,,,,,5,,,,,p
acted,,,,,5,,,,,v
acting,61,12,43,78,4,,,,,j
acting,61,12,43,78,4,,,,,v
acting,61,12,43,78,4,,,,,o
action,291,15,142,464,3,,,,,v
action,291,15,142,464,3,,,,,n
activate,2,2,2,,,,,,,v
activates,,,,,1,,,,,v
active,88,12,59,186,3,552,,436,,j
activity,116,12,61,325,4,,,,,n
actor,24,6,14,240,1,,,,,n
actress,6,4,5,166,1,,,,,n
acts,,,,,1,,,,,v
actual,100,10,61,246,14,589,,259,,j
actuality,8,3,7,9,,361,247,213,,n
actually,166,15,128,629,241,,,,,a
actuarial,1,1,1,,,,,,,j
actuate,1,1,1,,,,,,,o
actuate,1,1,1,,,,,,,v
acute,13,8,13,83,,,,,,n
acute,13,8,13,83,,,,,,v
acute,13,8,13,83,,,,,,j
ad,11,7,10,27,1,,,,,o
ad,11,7,10,27,1,,,,,r
ad,11,7,10,27,1,,,,,n
adage,3,3,3,10,,160,373,324,,n
adagio,3,1,2,,,,,,,a
adagio,3,1,2,,,,,,,j
adagio,3,1,2,,,,,,,n
adam,44,5,9,,,372,,488,,n
adamant,5,4,5,14,,,,,,n
adamant,5,4,5,14,,,,,,j
adamantine,,,,1,,,,,,j
adapt,5,4,5,80,,,,,,o
adapt,5,4,5,80,,,,,,v
adaptable,2,2,2,25,1,,,,,j
adaptation,10,7,9,19,,,,,,n
adapter,1,1,1,,,,,,,n
add,88,12,63,2018,8,,,,,v
added,,,,,6,,,,,p
added,,,,,6,,,,,v
adder,,,,1,,361,615,583,,n
addict,1,1,1,18,,,,,,o
addict,1,1,1,18,,,,,,n
addict,1,1,1,18,,,,,,v
addicted,3,3,3,18,,,,,,p
addicted,3,3,3,18,,,,,,v
addicted,3,3,3,18,,,,,,o
addiction,3,3,3,8,,,,,,n
adding,,,,,2,,,,,v
addition,142,13,99,245,,535,339,347,405,v
addition,142,13,99,245,,535,339,347,405,n
additional,120,11,85,,3,489,,303,,n
additional,120,11,85,,3,489,,303,,j
additive,3,1,1,,,,,,,n
additive,3,1,1,,,,,,,j
address,77,13,41,507,7,,,,,n
address,77,13,41,507,7,,,,,v
addressed,19,8,17,,2,,,,,p
addressed,19,8,17,,2,,,,,v
addressed,19,8,17,,2,,,,,o
addressing,,,,,2,,,,,v
adduce,1,1,1,,,,,,,v
adept,4,4,4,9,,,,,,j
adept,4,4,4,9,,,,,,n
adequate,66,10,52,95,2,485,,268,,v
adequate,66,10,52,95,2,485,,268,,j
adhere,4,2,4,17,,,,,,v
adherence,9,5,8,11,,375,265,326,,n
adherent,2,1,2,17,,,,,,j
adherent,2,1,2,17,,,,,,n
adhesion,2,2,2,6,,,,,,n
adhesive,6,3,4,6,,,,,,n
adhesive,6,3,4,6,,,,,,j
adieu,1,1,1,5,,,,,,a
adieu,1,1,1,5,,,,,,i
adieu,1,1,1,5,,,,,,n
adipic,1,1,1,,,,,,,j
adjacent,12,5,9,28,,,,,,n
adjacent,12,5,9,28,,,,,,j
adjectival,3,1,2,,1,,,,,j
adjective,2,2,2,22,2,515,316,394,392,j
adjective,2,2,2,22,2,515,316,394,392,v
adjective,2,2,2,22,2,515,316,394,392,n
adjoin,,,,54,,,,,,v
adjourn,,,,24,1,,,,,v
adjournment,4,3,3,4,,327,311,305,,n
adjudge,,,,2,,,,,,v
adjudicate,1,1,1,,,,,,,v
adjudication,4,2,2,,,,,,,n
adjunct,6,4,4,6,,,,,,j
adjunct,6,4,4,6,,,,,,n
adjure,,,,2,,,,,,v
adjust,16,9,14,127,2,,,,,v
adjuster,,,,18,,,,,,n
adjustment,35,7,20,63,,,,,,n
administer,3,2,3,50,,,,,,n
administer,3,2,3,50,,,,,,v
administered,,,,,1,,,,,p
